Test Name,FEN,Model,Persona,Raw Response,LLM Move,Best Move,Score Diff,Quality,Is Legal,Attack Metric,Defensive Metric
,r2q1rk1/5pp1/1p2p3/8/4n1PP/5K2/2np4/2q5 w - - 0 43,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,I can win material by taking the unprotected knight on e4 with my king. <MOVE>Kxe4</MOVE>,f3e4,f3e4,0,Best/Good,True,7,-26
,r2q1rk1/5pp1/1p2p3/8/4n1PP/5K2/2np4/2q5 w - - 0 43,OpenRouter (openai/gpt-oss-120b:free),Defensive,I will keep my king safe and maintain a solid structure before advancing any pawns. <MOVE>Kg2</MOVE>,f3g2,f3e4,3,Mistake,True,1,-30
,r2q1rk1/5pp1/1p2p3/8/4n1PP/5K2/2np4/2q5 w - - 0 43,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I’ll grab the central knight to open lines and keep the initiative. <MOVE>Kxe4</MOVE>,f3e4,f3e4,0,Best/Good,True,7,-26
,r2q1rk1/5pp1/1p2p3/8/4n1PP/5K2/2np4/2q5 w - - 0 43,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see the black knight on e4 is hanging, so I must take it. <MOVE>Kxe4</MOVE>",f3e4,f3e4,0,Best/Good,True,7,-26
,2k2r2/p1p4p/5p2/2b2p2/8/1P1P1P2/P2K3P/4R3 w - - 4 26,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,"I’ll capture the central pawn, gaining material and putting pressure on the bishop on c5. <MOVE>Rxe5</MOVE>",Rxe5,,,N/A,False,5,-14
,2k2r2/p1p4p/5p2/2b2p2/8/1P1P1P2/P2K3P/4R3 w - - 4 26,OpenRouter (openai/gpt-oss-120b:free),Defensive,"I will tuck my king away to a safer square, keeping the position solid and avoiding any unnecessary complications. <MOVE>Kc2</MOVE>",d2c2,e1e6,1,Best/Good,True,1,-18
,2k2r2/p1p4p/5p2/2b2p2/8/1P1P1P2/P2K3P/4R3 w - - 4 26,OpenRouter (openai/gpt-oss-120b:free),Aggressive,"I’ll launch a direct check by sliding my rook onto the eighth rank, forcing the black king to react and opening lines for further attack. <MOVE>Re8+</MOVE>",e1e8,e1c1,5,Mistake,True,8,-12
,2k2r2/p1p4p/5p2/2b2p2/8/1P1P1P2/P2K3P/4R3 w - - 4 26,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see no enemy piece that is hanging, so I’ll just improve my position by activating my rook. <MOVE>Re8</MOVE>",e1e8,e1c1,5,Mistake,True,8,-12
,2r3r1/2PR1Rp1/p2P1pkp/1p6/6PP/PP6/5P1K/8 b - - 0 42,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,I should capture the hanging white rook to regain material and improve my position. <MOVE>Rxc7</MOVE>,c8c7,a6a5,4,Mistake,True,2,-18
,2r3r1/2PR1Rp1/p2P1pkp/1p6/6PP/PP6/5P1K/8 b - - 0 42,OpenRouter (openai/gpt-oss-120b:free),Defensive,"I will tuck my king away to a safer square, keeping the position solid and avoiding any unnecessary complications. <MOVE>Kh7</MOVE>",g6h7,h6h5,3,Mistake,True,2,-26
,2r3r1/2PR1Rp1/p2P1pkp/1p6/6PP/PP6/5P1K/8 b - - 0 42,OpenRouter (openai/gpt-oss-120b:free),Aggressive,"I see a direct material gain that also opens lines toward the white king, so I’ll capture the pawn on c7 with my rook. <MOVE>Rxc7</MOVE>",c8c7,h6h5,4,Mistake,True,2,-18
,2r3r1/2PR1Rp1/p2P1pkp/1p6/6PP/PP6/5P1K/8 b - - 0 42,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see a white pawn on c7 that I can take right now, so I will capture it. <MOVE>Rxc7</MOVE>",c8c7,a6a5,4,Mistake,True,2,-18
,5rk1/p1p2ppp/bp1q4/3p4/3P4/3P1B2/PP1Q1PPP/4R1K1 b - - 0 17,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,I want to activate my queen and put pressure on the white rook while eyeing the d4 pawn. <MOVE>Qe5</MOVE>,d6e5,a6c8,9,Blunder,True,3,-5
,5rk1/p1p2ppp/bp1q4/3p4/3P4/3P1B2/PP1Q1PPP/4R1K1 b - - 0 17,OpenRouter (openai/gpt-oss-120b:free),Defensive,I want to reinforce my back rank and protect the queen on d6 while keeping my king safe. <MOVE>Rd8</MOVE>,f8d8,d6d8,0,Best/Good,True,0,-13
,5rk1/p1p2ppp/bp1q4/3p4/3P4/3P1B2/PP1Q1PPP/4R1K1 b - - 0 17,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I see a direct check that can force the white king into trouble and open lines for further attack. <MOVE>Qxh2+</MOVE>,d6h2,d6h6,8,Mistake,True,13,-12
,5rk1/p1p2ppp/bp1q4/3p4/3P4/3P1B2/PP1Q1PPP/4R1K1 b - - 0 17,OpenRouter (openai/gpt-oss-120b:free),Beginner Materialist,"I see no opponent piece that is both undefended and capturable, so I’ll improve my position with a quiet move. <MOVE>Qe5</MOVE>",d6e5,f8a8,9,Blunder,True,3,-5
,6Q1/8/8/7k/6p1/PN4P1/1P6/6K1 w - - 0 53,OpenRouter (openai/gpt-oss-120b:free),Neutral Baseline,"I will capture the pawn on g4 with check, simplifying the position and forcing the black king to move. <MOVE>Qxg4+</MOVE>",g8g4,g1f2,9,Blunder,True,10,0
,6Q1/8/8/7k/6p1/PN4P1/1P6/6K1 w - - 0 53,OpenRouter (openai/gpt-oss-120b:free),Defensive,"I will eliminate the dangerous pawn on g4 while delivering a safe check, keeping my queen protected by the pawn on h3. <MOVE>Qxg4+</MOVE>",g8g4,a3a4,9,Blunder,True,10,0
,6Q1/8/8/7k/6p1/PN4P1/1P6/6K1 w - - 0 53,OpenRouter (openai/gpt-oss-120b:free),Aggressive,I see a forced mate by delivering a queen check that the black king cannot escape. <MOVE>Qg5#</MOVE>,g8g5,g1h1,10,Blunder,True,9,7
